frequency_hz,live_re_cm,dead_re_cm,dead_minus_live
17642.422,0.9030265287439725,-4.242262752692258e-05,-0.9030689513714995
17846.968,0.9045924307215358,-4.242267380866199e-05,-0.9046348533953446
18053.887,0.9061275496208918,-4.242272116992434e-05,-0.9061699723420618
18263.204,0.9076323882634124,-4.242276963569516e-05,-0.9076748110330481
18474.948,0.9091074456070294,-4.2422819231829416e-05,-0.9091498684262612
18689.147,0.9105532165722323,-4.2422869984527007e-05,-0.9105956394422169
18905.83,0.9119701918793193,-4.242292192097798e-05,-0.9120126148012403
19125.025,0.9133588578965522,-4.2422975068692504e-05,-0.913401280871621
19346.761,0.9147196964988656,-4.2423029456016826e-05,-0.9147621195283216
19571.068,0.9160531849367916,-4.242308511163797e-05,-0.9160956080219032
19797.975,0.9173597957152523,-4.242314206538526e-05,-0.9174022188573177
20027.514,0.918639996481885,-4.242320034739236e-05,-0.9186824196822324
20259.713,0.9198942499245631,-4.242325998878077e-05,-0.919936673184552
20494.605,0.9211230136777736,-4.242332102100757e-05,-0.9211654369987946
20732.22,0.922326740237538,-4.242338347671815e-05,-0.9223691636210147
20972.59,0.9235058768845371,-4.242344738902903e-05,-0.9235483003319261
21215.747,0.9246608656151353,-4.242351279197815e-05,-0.9247032891279272
21461.723,0.9257921430799815,-4.2423579720273526e-05,-0.9258345666597018
21710.551,0.9269001405298887,-4.242364820940709e-05,-0.9269425641780981
21962.263,0.9279852837686831,-4.242371829590225e-05,-0.9280277074869789
22216.895,0.9290479931127362,-4.2423790017052425e-05,-0.9290904169027533
22474.478,0.9300886833568851,-4.242386341084833e-05,-0.9301311072202959
22735.048,0.931107763746464,-4.242393851634735e-05,-0.9311501876849804
22998.639,0.9321056379551684,-4.242401537348715e-05,-0.9321480619705419
23265.285,0.9330827040684879,-4.2424094023187686e-05,-0.9331251281625111
23535.024,0.9340393545724427,-4.2424174507066335e-05,-0.9340817787469498
23807.89,0.9349759763473708,-4.242425686814782e-05,-0.935018400604239
24083.919,0.9358929506665216,-4.2424341149974995e-05,-0.9359353750076715
24363.149,0.93679065319921,-4.242442739757633e-05,-0.9368330776266075
24645.616,0.937669454018301,-4.242451565652395e-05,-0.9377118785339575
24931.358,0.9385297176118039,-4.242460597397634e-05,-0.9385721422177778
25220.413,0.9393718028983418,-4.242469839781524e-05,-0.9394142275967395
25512.819,0.9401960632463031,-4.242479297720688e-05,-0.9402384880392803
25808.615,0.9410028464964559,-4.242488976242886e-05,-0.9410452713862184
26107.841,0.9417924949878302,-4.242498880480795e-05,-0.941834919976635
26410.536,0.9425653455866806,-4.242509015723423e-05,-0.9426077706768379
26716.741,0.9433217297183377,-4.242519387335876e-05,-0.943364154912211
27026.496,0.9440619734017733,-4.242530000831619e-05,-0.9441043987017816
27339.842,0.9447863972867073,-4.242540861872955e-05,-0.9448288226953261
27656.821,0.9454953166930895,-4.242551976208851e-05,-0.9455377422128516
27977.475,0.9461890416527958,-4.242563349752598e-05,-0.9462314672862934
28301.846,0.9468678769533866,-4.242574988571284e-05,-0.9469103027032723
28629.979,0.9475321221837806,-4.2425868988198193e-05,-0.9475745480527688
28961.916,0.9481820717817002,-4.2425990868400325e-05,-0.9482244977725687
29297.701,0.9488180150827538,-4.242611559119617e-05,-0.948860441198345
29637.379,0.9494402363710235,-4.2426243222839035e-05,-0.9494826626142463
29980.996,0.9500490149310368,-4.242637383112973e-05,-0.9500914413048679
30328.597,0.9506446251009959,-4.24265074854934e-05,-0.9506870516084814
30680.227,0.951227336327157,-4.2426644256961314e-05,-0.9512697629714139
31035.935,0.951797413219247,-4.242678421831395e-05,-0.9518398400034653
31395.766,0.9523551156068115,-4.242692744369409e-05,-0.9523975425342552
31759.77,0.9529006985963976,-4.2427074009572836e-05,-0.9529431256704072
